CodMun;Municipio;Ano;Situação;População
4125506;São José dos Pinhais;1970;Total;34124
4125506;São José dos Pinhais;1980;Total;70643
4125506;São José dos Pinhais;1991;Total;127455
4125506;São José dos Pinhais;2000;Total;204316
4125506;São José dos Pinhais;2010;Total;264210
4125506;São José dos Pinhais;1970;Urbana;21529
4125506;São José dos Pinhais;1980;Urbana;56814
4125506;São José dos Pinhais;1991;Urbana;111952
4125506;São José dos Pinhais;2000;Urbana;183366
4125506;São José dos Pinhais;2010;Urbana;236895
4125506;São José dos Pinhais;1970;Rural;12595
4125506;São José dos Pinhais;1980;Rural;13829
4125506;São José dos Pinhais;1991;Rural;15503
4125506;São José dos Pinhais;2000;Rural;20950
4125506;São José dos Pinhais;2010;Rural;27315
